| PAC algorithm        | QARMA5          |
| PAuth / PAuth2       | yes / yes       |
| EPAC / FPAC          | yes / yes       |
| MTE tagging          | no              |
|                      |                 |
| **PAC size**         |                 |
| data, lower          | 7 bits          |
| data, upper          | 7 bits          |
| instruction, lower   | 7 bits          |
| instruction, upper   | 15 bits         |
|                      |                 |
| **PAC position**     |                 |
| data, lower          | 54:48           |
| data, upper          | 54:48           |
| instruction, lower   | 54:48           |
| instruction, upper   | 63:56,54:48     |
|                      |                 |
| **PAC selector bit** |                 |
| data, lower          | bit 55          |
| data, upper          | bit 55          |
| instruction, lower   | bit 55          |
| instruction, upper   | bit 55          |
|                      |                 |
| **EL0/EL1 PAC keys** |                 |
| DA                   | same key        |
| DB                   | same key        |
| IA                   | distinct keys   |
| IB                   | same key        |
| Generic (PACGA)      | same key        |
|                      |                 |
| **TCR_EL1 register** |                 |
| TBI0                 | 1               |
| TBID0                | 0               |
| T0SZ                 | 16              |
| TBI1                 | 1               |
| TBID1                | 1               |
| T1SZ                 | 16              |
